OTU ID	Taxonomy	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought
a07f44e99e280742707d4ebb23214c5f	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales	260	167	72	189	110	54	28	17	152	66
a0bf1e346103c301fae00b2a0cdf8c92	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Coronophorales;f_Ceratostomataceae;g_Melanospora	0	0	54	0	0	0	0	0	0	0
a1095bc686a8a0089b76ae194e73b460	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Auriculariales;f_Hyaloriaceae;g_Myxarium	18	0	0	0	4	91	0	0	0	0
a16d818bc453f0b5780e574ecbb38224	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Pezizellaceae;g_Rodwayella	0	0	0	0	0	13	0	0	0	0
a2595e3c50f46b1ebf21c01755d12209	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Trechisporales;f_Hydnodontaceae;g_Subulicystidium	128	0	73	0	181	120	30	79	722	189
a25e162917132b17a2e85578d39b1a45	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Trichosporonales;f_Trichosporonaceae;g_Apiotrichum	469	266	275	1123	638	486	348	211	303	366
a27a6f06ed4694944a7a279206e4c484	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Verrucariales;f_Verrucariaceae;g_Psoroglaena	0	0	22	0	0	0	0	0	0	0
a27f53c9453738c9f5bc985f806de61a	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Polyporales;f_Ganodermataceae;g_Ganoderma	9	15	3	3	0	0	26	0	0	6
a2878a4e252dfa8b1162300ca2040ca5	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Nectriaceae;g_Fusarium	55	173	65	57	71	38	215	183	597	469
a2a92febedb58daf0c49bf74f5e678db	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Phaeosphaeriaceae;g_Phaeosphaeria	0	0	0	8	0	4	0	17	0	41
a2c307c641afc97423e315814bcf698d	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Diaporthales;f_Diaporthaceae;g_Diaporthe	0	5	0	4	0	0	0	0	13	24
a39ba8b94eacb850e45f52b3b063a462	k_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Filobasidiales;f_Piskurozymaceae;g_Solicoccozyma	45	95	251	311	26	30	42	49	210	243
a401cf666dde6392dbc82d0899a91327	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Psathyrellaceae	0	0	0	0	0	0	0	0	0	8
a4712edfd2b3d95ada0d38ad3e37a545	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Mycosphaerellales;f_Mycosphaerellaceae;g_Cercospora	0	0	0	0	89	70	140	128	0	0
a4cd359f157a88043ccf6a1e8feb8429	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Tubeufiales;f_Tubeufiaceae;g_Tubeufiaceae_gen_Incertae_sedis	29	11	0	0	0	4	0	0	7	3
a5822e10913ac0af9df521404d68fc25	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Bionectriaceae;g_Nectriella	0	0	0	12	0	0	0	39	41	0
a58eae180affc3a5d20e6b2b9d376165	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Agaricales;f_Agaricales_fam_Incertae_sedis;g_Agaricales_gen_Incertae_sedis	8	17	41	71	201	259	118	76	73	5
a5bb4c7be59b85af5a83dd0bb5eff699	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Onygenales;f_Onygenaceae;g_Xanthothecium	15	0	0	0	0	0	226	159	29	7
a5e5939c8162ff2809641218c7bc63a0	k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Chaetothyriales_fam_Incertae_sedis;g_Chaetothyriales_gen_Incertae_sedis	0	0	64	37	35	72	0	63	81	49
a66058207eaf39e7af80f5fc6683b51c	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Ceratocystidaceae;g_Berkeleyomyces	0	0	0	2	0	0	0	0	0	0
a6a8d901d2df11c11a7eaea82f8e5b75	k_Fungi;p_Chytridiomycota	24	31	0	18	7	51	10	4	4	55
a6ebc16ff1318c4c9a9ee2e7a079d986	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_fam_Incertae_sedis	48	0	0	0	0	0	0	0	0	0
a722cf4557b0ae472806a3e80393108b	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Chaetomiaceae	0	23	33	39	104	108	421	548	134	158
a72763c73f2a3a8763c7378b0496f4ae	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Dothideomycetes_ord_Incertae_sedis;f_Pseudorobillardaceae;g_Pseudorobillarda	0	15	0	0	0	0	0	0	0	0
a7662e23b06ad01fc695d19e6b5ecb63	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales	41	90	129	260	39	65	66	61	60	9
a83973dbac34e5d1a46881654e780793	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Cantharellales;f_Tulasnellaceae;g_Tulasnella	0	0	0	0	95	93	0	11	0	0
a907f1ebcdf65d958357b81d5abe2035	k_Fungi;p_Rozellomycota;c_Rozellomycotina_cls_Incertae_sedis;o_GS07;f_GS07_fam_Incertae_sedis;g_GS07_gen_Incertae_sedis	0	4	197	130	10	14	0	0	5	19
ab90ba693900e4fbd5c80d3867edd2e6	k_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Lipomycetaceae;g_Lipomyces	23	7	200	106	202	186	0	9	2	2
abc6bdd20fdbb5b74264ee0c3319b308	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Hypocreales_fam_Incertae_sedis;g_Xenoacrodontium	0	0	0	0	0	0	0	0	0	28
ac2eb6e773cc469c8d81124367672e40	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Geastrales;f_Geastraceae;g_Geastrum	13	0	0	0	0	0	0	0	0	0
ac35b0cb8561b769c55e16435f8aafe0	k_Fungi;p_Ascomycota;c_Dothideomycetes;o_Pleosporales;f_Melanommataceae;g_Pleotrichocladium	26	21	20	38	19	80	282	137	133	57
ac3e8b34878ca17f90f63358904c4c4c	k_Fungi;p_Basidiomycota;c_Agaricomycetes;o_Sebacinales;f_Sebacinales_fam_Incertae_sedis;g_Sebacinales_gen_Incertae_sedis	0	0	0	0	10	24	0	41	0	0
ac9c590082c1138387fa5fc3ac49d3e7	k_Fungi;p_Ascomycota;c_Leotiomycetes;o_Helotiales;f_Myxotrichaceae;g_Oidiodendron	0	13	17	0	6	5	15	5	28	23
ae56f9e581eff77b37c4af487974e8df	k_Fungi;p_Mortierellomycota;c_Mortierellomycetes;o_Mortierellales;f_Mortierellaceae;g_Dissophora	3	183	0	0	0	0	0	0	0	0
ae65aeed1fa320733029f7bb533ffaa1	k_Fungi;p_Basidiomycota;c_Agaricostilbomycetes;o_Agaricostilbales;f_Chionosphaeraceae;g_Chionosphaeraceae_gen_Incertae_sedis	0	6	0	0	0	0	0	0	0	0
af09b09db04c6509129c7f418e1d44cc	k_Fungi;p_Mortierellomycota;c_Mortierellomycetes;o_Mortierellales;f_Mortierellaceae	1828	1573	1634	1067	1474	3011	317	285	1521	3481
af1624286e7115cba02cb9509c08116d	k_Fungi;p_Sanchytriomycota;c_Sanchytriomycetes;o_Sanchytriales;f_Sanchytriaceae;g_Sanchytrium	11	5	0	0	0	10	0	0	0	0
b00740ed929d47d5b58a93f11682aa46	k_Fungi;p_Entomophthoromycota;c_Entomophthoromycetes;o_Entomophthorales;f_Ancylistaceae;g_Conidiobolus	0	0	2	0	0	0	0	0	0	0
b02c88340e43c69dee02efa1a9f65dc5	k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Ophiocordycipitaceae;g_Tolypocladium	323	12	0	0	153	183	196	0	21	7
