OTU ID	WINDMILL_farm-Control	WINDMILL_farm-Drought	Castle_Field_West_W-Control	Castle_Field_West_W-Drought	Jemma_6-Control	Jemma_6-Drought	Jemma_9-Control	Jemma_9-Drought	Lardon Chase-Control	Lardon Chase-Drought	Kingdom	Phylum	Class	Order	Family	Genus	Species
29c731292f10382c505d72b8e7c969fe	9	48	37	37	52	13	0	0	17	3	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Alphamycetaceae	Alphamycetaceae_gen_Incertae_sedis	NA
2a500208789c2bb0c41e7801098f9337	0	0	44	13	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Pseudophialophora	NA
2cc0208145ad97ee001a5742dfcdb546	11	25	0	3	0	0	0	0	0	0	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporales_fam_Incertae_sedis	Archaeosporales_gen_Incertae_sedis	NA
2f131a296ecb0b7c279d0ef46bcaa9d2	6	32	216	20	1	13	0	25	16	0	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Apiosordaria	NA
2fac7866681843ac6ca887ed0be36051	0	0	0	0	0	11	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Alloleptosphaeria	NA
2ff26e66a6cb32802608be25960c3731	0	0	16	17	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascaceae_gen_Incertae_sedis	NA
2ffb4ef99b4cc0b359402af118bd3045	0	35	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Bimuria	NA
30875bd9be5ca3181ee9a7d901a15381	34	19	0	0	7	14	0	0	0	3	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
30d9065187f5786e0176ab16c9f8e539	10	21	9	0	7	0	0	0	0	0	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Saccharomycetales_gen_Incertae_sedis	NA
30e6fec8ec4aed2ce1ca5cd0aa431a5c	0	0	8	0	0	0	0	0	0	0	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidiaceae_gen_Incertae_sedis	NA
